Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Install apps from the Windows Store	**Install apps from the Windows Store**\n\nHereâ€™s how to find and install an app from the Windows Store:\n\n1.  From the Start screen, tap or click Store. \n\n2.  Make sure youâ€™re signed in with your Microsoft account (see previous section).\n\n3.  To find an app, do one of the following:\n\n    *   Drag your finger across the screen to browse apps. You can tap a category, such as Games, to see more apps.\n\n    *   Type the name of the app youâ€™re looking for. Youâ€™ll see results that match your search.\n\n    *   Swipe in from the right-edge of the screen, tap or click the Search charm, and then type the app youâ€™re looking for.\n\n4.  Tap or click an app to learn about it and read reviews.\n\n5.  Tap or click Buy,  Try, or Install. \n\n    *   Install is available if an app is free or youâ€™ve already bought it.\n    *   Try means a trial version of the app is available. You can try before you buy.\n    *   Buy means that the app isnâ€™t free and the price is shown. Apps that you buy are charged to the payment option associated with your Microsoft account. To add or change the payment option on your account, see Add or change a payment method  in this guide.\n\nAfter an app is installed, a tile for the app appears on the Start screen..\n\nNotes\n\n*   If you canâ€™t find or install an app, see [Why canâ€™t I find or install an app from the Windows Store?](http://windows.microsoft.com/en-us/windows-8/why-find-install-app-windows-store) on Windows.com.\n\n*   To get help with the Store app, open the Settings charm and then tap or click Help. \n\n*   Apps are periodically updated. For info on updating your apps, see Update apps from the Windows Store.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3099
Install apps or programs from another place	**Install apps or programs from another place**\n\nYou can also install apps or programs from a CD or DVD, a website, or from a network.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3100
Install apps from the Internet	**Install apps from the Internet**\n\nMake sure you trust the publisher of the app and the website that's offering it.\n\nIn your web browser, tap or click the link to the app. To install it now, tap or click Open or Run, and then follow the instructions on your screen. To install the app later, tap or click Save or Save as to download it. When you're ready to install it, double-tap or double-click the file, and then follow the instructions on your screen.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3101
Install apps from a CD or DVD	**Install apps from a CD or DVD**\n\nTo install an app or program from a CD or DVD, connect an external USB optical disc drive to your Surface Pro. If the app doesn't start installing automatically, open the Search charm, enter Computer in the search box, then\n\ntap or click Computer. Open the CD or DVD folder, and open the program setup file, usually called Setup.exe or Install.exe.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3102
Get your programs working with Windows 8	**Get your programs working with Windows 8**\n\n*   Most programs written for Windows 7 also work with Windows 8. When you install or run an older program, Windows monitors it for symptoms of known compatibility issues. If it finds an issue, Program Compatibility Assistant provides some recommended actions that you can take to help the program run properly on Windows 8. For more info, see [Program Compatibility Assistant: Frequently asked questions](http://windows.microsoft.com/en-US/windows-8/program-compatibility-assistant-faq)  on Windows.com.\n\n*   If you're having trouble running a program that worked in a previous version of Windows, you might be able to run it in a compatibility mode, such as Windows Vista or Windows 7 compatibility modes. For info on how to do this, see [Get your apps and devices working in Windows 8](http://windows.microsoft.com/en-US/windows-8/get-apps-devices-working)  on Windows.com.\n\n*   The [Windows Compatibility Center](http://go.microsoft.com/fwlink/?LinkId=238597) has info to help you identify which apps will or won't work with Windows 8.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3103
Uninstall an app or program	**Uninstall an app or program**\n\nIf youâ€™re not using an app or program you can uninstall it. Hereâ€™s how:\n\n1.  Find the app that you want to remove. You can do this by finding the app tile on the Start screen or by using Search .\n\n2.  Swipe down or right-click on the app to select it. When you do this, app commands appear along the bottom of the screen.âœª\n\n3.  Tap or click Uninstall. If the app is a desktopapp, complete the next step.\n\n4.  Choose the app from the list and then tap or click Uninstall. \n\nTips\n\n*   To see your installed apps, go to Start and swipe down from the top of the screen (or right-click), then tap or click All apps. \n\n*   If you uninstall a built-in app, such as Music, you can reinstall it from the Store. The Mail, Calendar, People, and Messaging apps appear in the Store as a single app, called Mail, Calendar, People, and Messaging.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3104
Install apps from a network	**Install apps from a network**\n\nAsk your network admin for help installing apps from your company network.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3105
Update apps from the Windows Store	**Update apps from the Windows Store**\n\nApps are periodically updated by app developers and the Store tile on the Start screen tells you when updates are available.\n\nFor example, a â€œ4â€ on the Store tile means that four of your apps have updates.\n\nTo install app updates:\n\n1.  From the Start screen, tap or click Store. \n\n2.  Tap or click Updates in the upper-right corner.\n\n3.  Tap or click Install to install updates for the selected apps.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3106
Add or change a payment option	**Add or change a payment option**\n\nTo add or edit the payment method for the Windows Store:\n\n1.  From the Store app, open the Settings charm (swipe in from the right edge of the screen, and then tap Settings). \n\n2.  Tap or click Your account. If you haven't signed in to the Store, sign in using your Microsoft account.\n\n3.  Tap or click Add payment method or Edit payment method, edit your info, and then tap or click Submit. \n\nTo remove a payment method from your account:\n\n1.  Go to the [billing website](http://go.microsoft.com/fwlink/?LinkId=241657) and sign in with your Microsoft account.\n\n2.  Tap or click payment options. \n\n3.  Choose a payment method, tap or click remove, and then tap or click remove.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3107
View your billing history	**View your billing history**\n\nTo see a history of apps that you bought from the Windows Store:\n\n1.  From the Store app, open the Setting charm (swipe in from the right edge of the screen, and then tap Settings). \n\n2.  Tap or click Your account. If you haven't signed in to the Store, sign in using your Microsoft account.\n\n3.  Tap or click View billing history. \n\n4.  Sign in to the billing website using your Microsoft account.\n\n5.  Tap or click transactions, and then choose from the options to view your billing history.\n\nTip\n\n  To print your billing history, tap or click show print view, and then tap or click print.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3108
Family Safety and the Windows Store	**Family Safety and the Windows Store**\n\nYou can use Family Safety to control which games and apps your child can see and install from the Windows Store. You can also allow or block specific apps and games. For info about this, see [Using Family Safety settings](http://windows.microsoft.com/en-us/windows-8/family-safety-settings-windows-store) [with the Windows Store](http://windows.microsoft.com/en-us/windows-8/family-safety-settings-windows-store) on Windows.com.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3109
Install apps that you installed on other PCs	**Install apps that you installed on other PCs**\n\nOnce you install an app from the Store, you own it and it's yours to install on up to five PCs (regardless of whether the app is free or paid). If youâ€™ve installed apps on another Windows 8 or Windows RT PC, use the following steps to install the same apps on Surface:\n\n1.  Sign in to the Store app using the same Microsoft account that you used to install apps on other PCs. (To see which account youâ€™re signed in to, open the Settings charm, and then tap or click Your account). \n\n2.  Swipe down from the top of the screen, and then tap or click Your apps  (along  the top).\n\n3.  Choose the apps you want to install, and then tap or click Install. \n\nNotes\n\n*   The Your apps list shows you all the apps youâ€™ve installed on PCs associated with your Microsoft account. Or you can just view apps installed on a specific PC.\n\n*   To remove a PC from your account, see [Use your Windows Store account to install apps on up to five](http://windows.microsoft.com/en-us/windows-8/windows-store-install-apps-five-pcs) [PCs](http://windows.microsoft.com/en-us/windows-8/windows-store-install-apps-five-pcs) on Windows.com.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3110
Personalize your Surface	**Personalize your Surface**\n\nIn this section youâ€™ll learn how to personalize your Surface.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3111
Add your accounts - Personalize your Surface	**Add your accounts**\n\nOne of the first things youâ€™ll want to do with your new Surface is add your accountsâ€”like Outlook.com, Gmail,  Facebook, Twitter, LinkedInâ€”to your Microsoft account. Once you add your accounts, your contacts, calendar, and email will appear in the Mail, People, and Calendar apps. And you can quickly get to your photos and files from services like SkyDrive, Facebook, or Flickr. For more info, see the Add your accounts section in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3112
Change your lock screen picture, colors, and account picture	**Change your lock screen picture, colors, and account picture**\n\nHere's how to change pictures and colors:\n\n1.  Open the Settings charm and then tap or click Change PC settings. \n\n2.  Tap or click Personalize. \n\n    *   Lock screen Tap or click Lock screen and then Browse to find a picture for your lock screen.\n    *   Start screen Tap or click Start screen, then choose a color and background. The background shows up only on Start, but the color you pick shows up in a few other places too, like the charms and the sign-in screen.\n    *   Account picture Tap or click Account picture, then choose Browse to select an existing image or Camera to take a new Account picture.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3113
Customize the Start screen	**Customize the Start screen**\n\nThe Start screen is made up of tiles arranged in groups. A tile is an app or content (such as a website, contact, or folder) that you can open from the Start screen. âœª\n\nYou can customize the Start screen any way you want it, and put your favorite apps, people, and websites front and center. Here are a few options you can try.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3114
Create tiles for your favorite people and places	If you have a website that you visit every day or people that you chat with all the time, you can create tiles for them on Start so you can get to them quickly.\n\nWhen you come across a website, contact, or folder that you want to add to Start, here's how:	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3115
Rearrange, resize, unpin, and group tiles	**Rearrange, resize, unpin, and group tiles**\n\nYou can rearrange and resize the tiles, unpin the ones you donâ€™t use, and create groups of tiles. To see how to do all these things, watch the [Rearranging tiles on Start](http://windows.microsoft.com/en-us/windows-8/rearrange-tiles-start) video on Windows.com.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3116
To pin a website or contact:	Open the webpage in Internet Explorer or a contact in the People app, then swipe down from the top of the screen, and tap or click Pin to Start.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3117
To pin a folder:	Open File Explorer, right click a folder or press and hold until a box appears, then tap or click Pin to Start.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3118
Rearrange tiles - Rearrange, resize, unpin, and group tiles	**Rearrange tiles**\n\nYou can arrange the tiles any way you want. Hereâ€™s how:\n\n  To move a tile, drag it up or down, and then drag it where you want it.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3119
Pin or unpin apps	**Pin or unpin apps**\n\nSome apps installed on your Surface might not be pinned to Start. However, you can change this if youâ€™d like. Hereâ€™s how:\n\n*   From the Start screen, open the Search charm, swipe down on an app (or right click) to select it, and then tap or click Pin to Start. If the app is already on Start, youâ€™ll see Unpin from Start.\n\n    *   If you unpin an app, it's still installed and can be found using Search .\n    *   To uninstall an app, see Uninstall apps in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3120
Turn off Live tiles	**Turn off Live tiles**\n\nLive tiles show you useful info on the tile. For example, the Calendar tile shows you your next appointment. You can, however, turn off a live tile off if youâ€™d like. Hereâ€™s how:\n\n  Swipe down on a live tile (or right click), and then tap or click Turn live tile off.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3121
Resize a tile	**Resize a tile**\n\nIf a tile isn't fitting in the spot you want, you can usually make it larger or smaller. Hereâ€™s how:\n\n  Swipe down on the tile (or right click), then tap or click Larger or Smaller. (Some tiles can't be resized.)	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3122
Unpin a tile	**Unpin a tile**\n\nIf there are tiles you don't use, you can unpin them. Hereâ€™s how:\n\n  Swipe down on a tile (or right click), and then tap or click Unpin from Start.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3123
âœª Group tiles	**âœª Group tiles**\n\nYou can put similar tiles together in a group and add a name.  For example, you can create a "Websites" group for all the websites that youâ€™ve pinned to Start. Here's how to name a group of tiles:\n\n1.  Pinch your fingers together on the Start screen to zoom out and see all the tiles. (If you're using a mouse, click the Zoom button  in the lower right corner.)âœª\n\n2.  Swipe down or right click the group of tiles you want to name, and then tap or click Name Group.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3124
Desktop settings - Personalize your Surface	**Desktop settings**\n\nWhen you open the Settings charm from the desktop, you have the following options in the upper-right corner:\n\n*   Control Panel Opens Control Panel, which you can use to change Windows settings. Many of these settings are also available in the new PC settings. Learn more about this in the Change your settings topic. âœª\n\n*   Personalization Opens the Personalization area of Control Panel. Here you can change your desktop background, colors, sounds, and screen saver.\n\n*   PC info Opens the System area of Control Panel. \n\n*   Help Opens Windows Help and Support topics.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3125
Themes and desktop backgrounds	**Themes and desktop backgrounds**\n\nYou can change the desktop background, color, and sounds. Hereâ€™s how:\n\n1.  Open the Search charm, type personalization, and then tap or click Settings. \n\n2.  Tap or click Personalization. \n\n3.  Choose a theme or change the Desktop Background, Color, and Sounds individually.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3126
Pin or unpin a desktop app from the taskbar	**Pin or unpin a desktop app from the taskbar**\n\nYou can pin or unpin a desktop app (such as the Notepad) to the desktop taskbar. Hereâ€™s how:\n\n1.  Go to the Start screen and type the desktop app that you want to pin to the taskbar (for example, Notepad or Word).\n\n2.  Swipe down on the app in the search results.\n\n3.  Tap or click Pin to taskbar or Unpin from taskbar.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3127
Desktop apps appear too big or small	**Desktop apps appear too big or small**\n\nIf a desktop app appears bigger or smaller than youâ€™d like, you can disable display scaling for a desktop app or change the size of desktop items.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3128
Solution 1: Disable display scaling for the app	**Solution 1: Disable display scaling for the app**\n\nYou can disable display scaling for an individual desktop app. Hereâ€™s how:\n\n1.  Select the tile for the desktop app on the Start screen (swipe down on the tile or right-click it), and then tap or click Open file location to open File Explorer.\n\n2.  In File Explorer, tap and hold or right-click the appâ€™s executable (.exe) file and select Properties. \n\n3.  Select the Compatibility tab.\n\n4.  In the Settings area, select the Disable display scaling on high DPI settings check box and then tap or click OK. \n\n5.  Start the app and see if this change helps.\n\nIf this doesnâ€™t help, you can try reducing the size of desktop items with the following steps.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3129
Sync your settings	**Sync your settings**\n\nWhen you sign in with a Microsoft account, Surface is connected to the cloud. This means that many of your personal settings and preferences are stored on Microsoft servers online, and are synced to any Windows 8 or Windows RT PC that you sign in to. For example:\n\n*   Your chosen colors, themes, language preferences, browser history and favorites, and Windows Store settings are synced between PCs.\n\n*   You can get to and share your photos, documents, and other files on SkyDrive, Facebook, Flickr, and other services without signing in to each service.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3130
Choose which settings to sync	**Choose which settings to sync**\n\nIf you want to keep some of your personal settings more private, you can turn off syncing for specific settings, or turn off syncing entirely. To choose which settings sync across PCs:\n\n1.  Sign in with your Microsoft account. To find out if you already have a Microsoft account or to set one up, see [How do I get a Microsoft account?](http://windows.microsoft.com/en-US/windows-8/microsoft-account#1TC=t1) on Windows. com.\n\n2.  Open the Settings charm, and then tap or click Change PC settings. \n\n3.  Tap or click Sync your settings. \n\n4.  Under Settings to sync, turn on the settings that you want to sync.\n\nFor help deciding which settings to sync, see [Should I sync settings between PCs and devices](http://windows.microsoft.com/en-US/windows-8/sync-settings-pcs) on Windows.com.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3131
Solution 2: Change the size of desktop items	**Solution 2: Change the size of desktop items**\n\n1.  Open the Search charm, type make text in the Search box.\n\n2.  Tap or click Settings, then choose Make text and other items larger or smaller from the search results.\n\n3.  Choose Medium - 125% and tap or click Apply. \n\n4.  Choose either Sign out now or Sign out later to apply the change.\n\n5.  Sign in to Surface and try the app again.\n\nIf this doesnâ€™t help, repeat the above steps and select Smaller â€“ 100% in step 3.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3132
Notifications - Personalize your Surface	**Notifications**\n\nThere are many ways to see when you have new email, messages, calendar events, status updates, and Tweets. Notifications appear in the upper-right corner, quick status and detailed status updates appear on the lock screen, and tiles update on the Start screen.\n\nYou can choose which apps run in the background and show notifications on the lock screen. Hereâ€™s how:\n\n1.  Open the Settings charm, and then tap or click Change PC settings. \n\n2.  Tap or click Personalize, and then choose which apps you want to appear and the lock screen.\n\nFor more info about notifications, see the topic [How to manage notifications for Mail, Calendar, People, and](http://windows.microsoft.com/en-US/windows-8/how-manage-notifications) [Messaging](http://windows.microsoft.com/en-US/windows-8/how-manage-notifications) on Windows.com.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3133
Connect devices	**Connect devices**\n\nYou can connect many different devices to Surface by using the USB and HD video out ports or by using Bluetooth wireless technology.\n\n*   USB Surface has a full-size USB 3.0 port on the left edge. Use this port to connect a printer, mouse, or external hard drive. Some devices might support USB 3.0, a connection type that can run up to 10 times faster than USB 2.0.\n\n*   Bluetooth You can use many Bluetooth enabled devices, such as phones, speakers, headsets, mice, and keyboards.\n\n*   Mini DisplayPort Use this port to connect Surface to a TV, a monitor, or projector.2\n\n2Adapters and cables sold separately.\n\nNote Surface Pro is compatible with devices that are certified for Windows 8. For more info about this, see the Device compatibility topic in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3134
Add languages - Personalize your Surface	**Add languages**\n\nYou can add languages so that you can read and type in different languages. Once you add a language, you can choose your display languageâ€”this is the language you see most often in Windows and in your appsâ€”and switch between different languages as you type. âœª\n\n*   To learn more how to add a language and type in different languages, see [Languages in](http://windows.microsoft.com/en-us/windows-8/language#1TC=t1) [Windows 8](http://windows.microsoft.com/en-us/windows-8/language#1TC=t1) on Windows.com.\n\n*   If you want to work with different languages in the Office apps, see [Office 2013 language](http://go.microsoft.com/fwlink/p/?LinkId=259794)\n\n[options](http://go.microsoft.com/fwlink/p/?LinkId=259794) on Office.com.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3135
Printing - Connect devices	**Printing**\n\nHereâ€™s what you need to know about printing from Surface.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3136
Set up a printer	**Set up a printer**\n\n*   Local printer Plug the USB cable from your printer into the USB port on Surface.\n\n*   Network or wireless printer If your printer is a network or wireless printer that is already on your network, see if your printer is already installed (skip to the next section).If you have a new wireless printer that hasnâ€™t been added to your network, refer to the directions that came with your printer for instructions on adding it.\n\n*   Printer that is connected to another PC If someone else in your home already has a printer installed, you can join the Homegroup and print to this printer. (The PC that the printer is connected to must be turned on and the printer must be compatible with Windows 8).	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3137
See if your printer is already installed	**See if your printer is already installed**\n\n1.  Open the Settings charm, tap or click Change PC settings. \n\n2.  Tap or click Devices (on the left). \n\n3.  Look for your printer in the list of devices.\n\n    *   If your printer is listed, youâ€™re ready to print (see the next topic).\n    *   If your printer is not listed, tap or click Add a device and select your printer to install it. If Windows doesnâ€™t find your printer, see [Why isnâ€™t Windows finding my device?](http://windows.microsoft.com/en-us/windows-8/why-isnt-windows-finding-device) on Windows.com or try adding a printer using the following steps:\n\n    1.  Open the Search charm, type devices and printers in the search box.\n    2.  Tap or click Settings, then tap or click Devices and Printers from the search results.\n    3.  Tap or click Add a printer (along the top) and then follow the on-screen instructions.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3138
Print something - Printing	**Print something**\n\nTo print from a Windows Store app:\n\n1.  Open what you want to print. For example, open a web page in Internet Explorer or an email message in Mail.\n\n2.  Swipe in from the right and then tap Devices. \n\n3.  Tap or click your printer from the list. If your printer isnâ€™t listed, it might be because the app doesnâ€™t support printing or you havenâ€™t added a printer.\n\n4.  Choose your printing options and then tap or click Print. \n\nTo print from a desktop app (such as Notepad or the Office apps):\n\n*   Find the Print command in the app or press Ctrl+P.Tips\n\n*   To find out how to set your default printer, see [Set or change your default printer](http://windows.microsoft.com/en-us/windows-8/set-change-your-default-printer) on Windows.com.\n\n*   To find out how to capture your screen (print screen), see the Take a screen shot topic in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3139
Add, view, and manage your devices and printers	**Add, view, and manage your devices and printers**\n\nYou can add devices to Surface using either PC Settings or Control Panel.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3140
Canâ€™t print? - Printing	**Canâ€™t print?**\n\nIf youâ€™re having problems printing, see [How to solve printing problems](http://windows.microsoft.com/en-us/windows-8/how-to-solve-printing-problems) on Windows.com. Downloading and installing the latest driver for your printer can fix problems.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3141
Add a device using PC Settings	**Add a device using PC Settings**\n\n1.  Open the Settings charm and then tap or click Change PC settings. \n\n2.  Tap or click Devices, and then tap or click Add a device.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3142
Add a device using Control Panel	**Add a device using Control Panel**\n\n1.  Open the Search charm, type devices and printers in the search box.\n\n2.  Tap or click Settings, then tap or click Devices and Printers from the search results.\n\n3.  Tap or click Add a printer or Add a device and then follow the on-screen instructions.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3143
Printer compatibility - Canâ€™t print?	**Printer compatibility**\n\nSurface Pro is compatible with printers that are certified for Windows 8. Windows Update automatically installs important driver updates as they become available. You can also download and update drivers from the printer manufacturer's website. For more info about this, see [Update drivers](http://windows.microsoft.com/en-US/windows/printer-problems-in-windows-help#fix-printer-problems=windows-8&v1h=win8tab4&v2h=win7tab1&v3h=winvistatab1&v4h=winxptab1) on Windows.com. To see whatâ€™s compatible with Windows 8, see the [Windows Compatibility Center](http://www.microsoft.com/en-us/windows/compatibility/en-US/CompatCenter/Home) [.](http://www.microsoft.com/en-us/windows/compatibility/en-US/CompatCenter/Home)	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3144
Add a Bluetooth device	**Add a Bluetooth device**\n\nHere are the steps for adding a Bluetooth device:	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3145
Manage your devices	**Manage your devices**\n\nDevices and Printers in Control Panel is where you can manage your devices, change settings, and troubleshoot problems. For example, you can set a default printer or change the settings for a wireless mouse.  To open Devices and Printers:\n\n1.  From the Start screen, type devices and printers. \n\n2.  Tap or click Settings, and then tap or click Devices and Printers in the search results.\n\nTip\n\n  You can switch between different audio devices, such as speakers and headphones, in Control Panel. To do this, open the Search charm, tap Settings and then type Manage audio devices.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3146
Step 1: Make sure your Bluetooth device is on and discoverable	**Step 1: Make sure your Bluetooth device is on and discoverable**\n\nTurn on the device, and then make it discoverable. To learn how to make a device discoverable, check the info that came with your Bluetooth device or go to the manufacturerâ€™s website.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3147
Step 2: Make sure Bluetooth is on	**Step 2: Make sure Bluetooth is on**\n\n1.  Open the Settings charm, and then tap or click Change PC Settings. \n\n2.  Tap or click Wireless. \n\n3.  Make sure Bluetooth is On.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3148
Step 3: Add the Bluetooth device	**Step 3: Add the Bluetooth device**\n\n1.  In PC Settings, tap or click Devices. \n\n2.  Tap or click Add a device. \n\n3.  Select your Bluetooth device from the list of wireless devices.\n\n4.  If the accessory requires a passcode (sometimes called a pairing code), youâ€™ll be prompted for it. If you donâ€™t know the passcode, check the info that came with your device or go to the manufacturerâ€™s website.\n\nTips\n\n*   When connecting a phone, make sure your phone is unlocked and showing the Bluetooth settings screen.\n\n*   If you add a Bluetooth keyboard, you can disable Touch Cover or Type Cover by folding it back or removing it.\n\n*   If you have trouble adding a device, see the following topics on Windows.com:\n\n    *   [Why isn't Windows finding my device?](http://windows.microsoft.com/en-US/windows-8/why-isnt-windows-finding-device) \n    *   [What if a device isn't installed properly?](http://windows.microsoft.com/en-US/windows-8/what-device-isnt-installed-properly)	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3149
Device compatibility - Add, view, and manage your devices and printers	**Device compatibility**\n\nSurface Pro is compatible with devices that are certified for Windows 8. These devices are marked with the certified for Windows 8 logo. To see what's compatible with Windows 8, go online to the [Windows](http://www.microsoft.com/en-us/windows/compatibility/win8/CompatCenter/Home) [Compatibility Center](http://www.microsoft.com/en-us/windows/compatibility/win8/CompatCenter/Home) [.](http://www.microsoft.com/en-us/windows/compatibility/win8/CompatCenter/Home)	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3150
Connect Surface to a TV, monitor, or projector	**Connect Surface to a TV, monitor, or projector**\n\nYou can make videos bigger and louder by connecting your Surface to a TV, monitor, or projector. For example, you can connect your Surface to an HDTV and watch movies on a big screen or connect to a projector for a presentation.\n\nTo connect Surface to another screen youâ€™ll need an adapter (sold separately) and a compatible VGA or HDMI cable. Here are the adapters:\n\nâœª	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3151
Troubleshooting - Manage your devices	**Troubleshooting**\n\n*   If you have trouble adding a device, see the following topics on Windows.com:\n\n    *   [Why isn't Windows finding my device?](http://windows.microsoft.com/en-US/windows-8/why-isnt-windows-finding-device) \n\n    *   [What if a device isn't installed properly?](http://windows.microsoft.com/en-US/windows-8/what-device-isnt-installed-properly) \n\n*   If you see a yellow warning icon next to a device, tap and hold on the device until a box appears (or right-click), then select Troubleshoot.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3152
Which adapter do I need?	**Which adapter do I need?**\n\nTo figure out which adapter you need, look at the video ports on your TV, display, or projector.\n\n*   HDTV For HD quality, plug the Surface HD Digital AV Adapter into the HDMI port on your HDTV.\n\n*   Projector or monitor Check your projector or monitor for an HDMI port. If you donâ€™t see one, you can use the Surface VGA Adapter with a VGA port on your projector or monitor. The VGA Adapter is for video only, not audio.\n\nSurface video adapters are available online in the [Accessories](http://www.microsoft.com/Surface/en-US/accessories/home) area on Surface.com.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3153
Connect to a TV, monitor, or projector	**Connect to a TV, monitor, or projector**\n\n1.  Connect a VGA or HDMI cable to the HDMI or VGA port on your TV, monitor, or projector.\n\n2.  Connect the other end of the cable to the Surface adapter.\n\n3.  Remove the cap from the end of the Surface adapter cable.\n\n4.  Plug the adapter into the Mini DisplayPort on your\n\nSurface (lower-right side).\n\nNote If thereâ€™s no picture on the external display, disconnect the adapter, rotate it 180 degrees, and plug it into Surface again.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3154
Set up your screens	**Set up your screens**\n\nOnce you plug in your screen, you can choose your display options. Hereâ€™s how:\n\n1.  Open the Devices charm (swipe in from the right edge of the screen and tap Devices). \n\n2.  Tap or click Second screen and then choose one of these options:\n\n    *   Duplicate  Youâ€™ll see the same thing on both screens.\n    *   Extend  Your screen is spread over two monitors, and you can drag and move items between the two.\n    *   Second screen only Youâ€™ll see everything on the connected screen, and the Surface will be blank.\n\nAfter you connect a second screen, you might want to change the size of desktop items. For info on how to do this, see Desktop apps appear too big or small in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3155
Use multiple monitors	**Use multiple monitors**\n\nConnecting another monitor to your Surface is a great way to multitask. You can use one monitor for work (Office apps) and the other for play (chatting with friends, social updates, or music). Once connected, you can use one of the following key combinations (on Touch Cover or Type Cover) to move an app to the second screen:\n\n| Press this | To do this |\n| --- | --- |\n| Windows logo key  +PgUp  -or- Windows logo key  +PgDn | Move Windows Store apps to another monitor. |\n| Windows logo key  +Right arrow  -or- Windows logo key  +Left arrow | Move a desktop app (such as Word) to another monitor. |\n\nNotes\n\n*   Open desktop apps (like the Office apps) on both monitors, or apps from the Windows Store on one and desktop apps on the other.\n\n*   When you open Start or the charms on a monitor, all apps from the Store will move to that same monitor.\n\n*   You can use the four corners of either screen to open the charms and your recent apps with your mouse. To open the charms on the second screen, move your mouse pointer to the second screen.\n\n*   You can decide whether you want to have a taskbar on all of your displays, and how you want buttons to be arranged on the taskbars. For more info, see [Change taskbar settings for multiple displays](http://windows.microsoft.com/en-us/windows-8/use-the-taskbar#section_7) on Windows.com.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3156
Press this - Use multiple monitors	** Press this**\nis To do this	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3157
Windows logo key  +PgUp  -or- Windows logo key  +PgDn - Use multiple monitors	** Windows logo key +PgUp -or- Windows logo key +PgDn**\nis Move Windows Store apps to another monitor.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3158
Windows logo key  +Right arrow  -or- Windows logo key  +Left arrow - Use multiple monitors	** Windows logo key +Right arrow -or- Windows logo key +Left arrow**\nis Move a desktop app (such as Word) to another monitor.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	3159
